architecture,architecture_label,sample_size,dataset,noise,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean,violation_rate_percent_std,parameter_count_mean,parameter_count_std,train_seconds_mean,train_seconds_std,ms_per_sample_mean,ms_per_sample_std
MLP_DEPTH_1,MLP-1 hidden layer,200000,internal_test,30dB,1,16.88179779,0,24.56618482,0,0.765811838,0,0.998084668,0,0.158541419,0,82890,0,56.9132692,0,0.011135046,0
MLP_DEPTH_1,MLP-1 hidden layer,200000,internal_test,clean,1,15.43956852,0,22.99948385,0,0.702380529,0,0.998321177,0,0.198176774,0,82890,0,56.9132692,0,0.011135046,0
MLP_DEPTH_2,MLP-2 hidden layers,20000,internal_test,10dB,1,64.88153839,0,83.8685,0,2.960051224,0,0.977676284,0,1.625049544,0,148682,0,8.7942769,0,0.010947959,0
MLP_DEPTH_2,MLP-2 hidden layers,20000,internal_test,20dB,1,28.54400826,0,38.25315455,0,1.303218026,0,0.995355882,0,0.475624257,0,148682,0,8.7942769,0,0.010947959,0
MLP_DEPTH_2,MLP-2 hidden layers,20000,internal_test,30dB,1,21.00408554,0,30.55955419,0,0.959557854,0,0.997036105,0,0.198176774,0,148682,0,8.7942769,0,0.010947959,0
MLP_DEPTH_2,MLP-2 hidden layers,20000,internal_test,clean,1,19.92913246,0,29.53155072,0,0.90928534,0,0.997232158,0,0.158541419,0,148682,0,8.7942769,0,0.010947959,0
MLP_DEPTH_2,MLP-2 hidden layers,30000,internal_test,10dB,1,59.75427246,0,76.62761899,0,2.705601603,0,0.981364571,0,1.466508125,0,148682,0,11.9850537,0,0.011239667,0
MLP_DEPTH_2,MLP-2 hidden layers,30000,internal_test,20dB,1,26.87682343,0,36.1796546,0,1.22085847,0,0.995845703,0,0.634165676,0,148682,0,11.9850537,0,0.011239667,0
MLP_DEPTH_2,MLP-2 hidden layers,30000,internal_test,30dB,1,20.61366844,0,29.67932967,0,0.939227734,0,0.997204388,0,0.317082838,0,148682,0,11.9850537,0,0.011239667,0
MLP_DEPTH_2,MLP-2 hidden layers,30000,internal_test,clean,1,19.83113289,0,28.92708497,0,0.903609302,0,0.997344306,0,0.356718193,0,148682,0,11.9850537,0,0.011239667,0
MLP_DEPTH_2,MLP-2 hidden layers,50000,internal_test,10dB,1,54.46921158,0,70.02727566,0,2.443867736,0,0.984436645,0,1.268331352,0,148682,0,17.8862964,0,0.011024645,0
MLP_DEPTH_2,MLP-2 hidden layers,50000,internal_test,20dB,1,25.09984398,0,34.1631326,0,1.13232024,0,0.996295888,0,0.475624257,0,148682,0,17.8862964,0,0.011024645,0
MLP_DEPTH_2,MLP-2 hidden layers,50000,internal_test,30dB,1,19.27710533,0,28.21681952,0,0.874648709,0,0.997473119,0,0.237812128,0,148682,0,17.8862964,0,0.011024645,0
MLP_DEPTH_2,MLP-2 hidden layers,50000,internal_test,clean,1,18.51594925,0,27.46797118,0,0.840745959,0,0.997605461,0,0.317082838,0,148682,0,17.8862964,0,0.011024645,0
MLP_DEPTH_2,MLP-2 hidden layers,75000,internal_test,10dB,1,53.87923431,0,69.19435589,0,2.419476211,0,0.984804672,0,1.268331352,0,148682,0,25.8460008,0,0.011206342,0
MLP_DEPTH_2,MLP-2 hidden layers,75000,internal_test,20dB,1,24.08827019,0,32.93769642,0,1.087501086,0,0.996556856,0,0.317082838,0,148682,0,25.8460008,0,0.011206342,0
MLP_DEPTH_2,MLP-2 hidden layers,75000,internal_test,30dB,1,18.28800774,0,26.98770088,0,0.833283458,0,0.997688465,0,0.158541419,0,148682,0,25.8460008,0,0.011206342,0
MLP_DEPTH_2,MLP-2 hidden layers,75000,internal_test,clean,1,17.57138634,0,26.27804608,0,0.801703427,0,0.997808432,0,0.158541419,0,148682,0,25.8460008,0,0.011206342,0
MLP_DEPTH_2,MLP-2 hidden layers,100000,internal_test,10dB,1,52.78243637,0,68.19753163,0,2.365371212,0,0.98523933,0,1.347602061,0,148682,0,35.0813078,0,0.011784495,0
MLP_DEPTH_2,MLP-2 hidden layers,100000,internal_test,20dB,1,23.94968224,0,32.79454308,0,1.083346922,0,0.99658672,0,0.356718193,0,148682,0,35.0813078,0,0.011784495,0
MLP_DEPTH_2,MLP-2 hidden layers,100000,internal_test,30dB,1,16.86928177,0,24.91625377,0,0.771177327,0,0.998029691,0,0.158541419,0,148682,0,35.0813078,0,0.011784495,0
MLP_DEPTH_2,MLP-2 hidden layers,100000,internal_test,clean,1,15.8173666,0,23.77382645,0,0.723578595,0,0.998206229,0,0.118906064,0,148682,0,35.0813078,0,0.011784495,0
MLP_DEPTH_2,MLP-2 hidden layers,150000,internal_test,10dB,1,51.57093811,0,66.48172182,0,2.30147168,0,0.985972726,0,1.070154578,0,148682,0,49.6593378,0,0.011193262,0
