dataset,label,boundary_violation_percent,monotonic_violation_percent,internal_clean_mae_mean,internal_clean_mae_std,internal_30db_mae_mean,internal_30db_mae_std,internal_20db_mae_mean,internal_20db_mae_std,internal_10db_mae_mean,internal_10db_mae_std,external_clean_mae_mean,external_clean_mae_std,external_30db_mae_mean,external_30db_mae_std,external_20db_mae_mean,external_20db_mae_std,external_10db_mae_mean,external_10db_mae_std
CLEAN,Clean,0.0,0.0,9.066238721211752,0.0958451769645012,10.651490211486816,0.08669629839444094,17.413962682088215,0.5300571337140925,38.8698984781901,0.5875956419435527,532.6604614257812,13.236887851598125,536.0411580403646,10.090553111501741,543.5251057942709,4.881754146062955,474.25307210286456,9.102491591389485
P10,P10,2.113738319587831,6.952416400572021,15.23815377553304,0.41836402168880166,16.394802729288738,0.3952814758413097,22.417208989461262,0.35023652536897937,42.366455078125,0.1479403468834237,522.5274454752604,28.662220166678377,525.177744547526,27.046126274316112,533.6606852213541,18.708619068107808,467.9049377441406,19.752943994801974
P20,P20,4.170666248751151,13.961643191568552,23.706551869710285,2.2834924685346083,24.64306577046712,2.132092768048119,29.857349395751953,1.8277613826847445,49.023414611816406,2.852581991057757,597.1616617838541,61.462130952247904,597.5436401367188,60.26843959810032,598.0199788411459,53.17477590580883,532.255198160807,70.12222232154214
P30,P30,6.22367621995416,20.933649381568552,29.971974054972332,0.6331577005472542,30.837160110473633,0.6074207691597445,35.5479367574056,0.48349607656405397,52.909071604410805,0.8430056448327629,555.5489908854166,22.213453470474647,556.1241658528646,21.66556346950164,556.2814737955729,18.379800619315166,465.3451843261719,31.123314460020634
