noise,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean
clean,3,9.072465260823568,0.22587552716837747,11.666742432623607,0.21719395813062867,0.4241126123815775,0.01258886625508224,0.999445445925414,2.0743227493402403e-05,0.0
30dB,3,10.649499893188477,0.1940513546377485,13.609191453724625,0.21530893033647044,0.4931934643536806,0.01026008390376566,0.9992454613869125,2.3970290606396195e-05,0.0
20dB,3,17.3766663869222,0.12471726059683519,22.30543232104308,0.11999861660766865,0.7968510190645853,0.007104285429284105,0.9979733720553693,2.1780111333137105e-05,0.0
10dB,3,39.61232376098633,1.363285859622658,50.57558406455226,1.4203857135865716,1.8166766812403996,0.07896532202299231,0.9895755185917655,0.0005807356262565735,0.0
