architecture,architecture_label,sample_size,dataset,noise,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean,violation_rate_percent_std,parameter_count_mean,parameter_count_std,train_seconds_mean,train_seconds_std,ms_per_sample_mean,ms_per_sample_std
Transformer_SP,Transformer-SP,10000,internal_test,clean,3,18.48235766,0.362818037,26.83755891,1.279837513,0.839960979,0.01821509,0.997710647,0.000221013,0,0,122187,0,158.2049633,7.761469314,0.114674734,0.00139235
Transformer_SP,Transformer-SP,10000,internal_test,10dB,3,52.9644165,2.955401457,68.47573975,3.879467977,2.356321489,0.108514224,0.985086811,0.001712017,0,0,122187,0,158.2049633,7.761469314,0.114674734,0.00139235
Transformer_SP,Transformer-SP,10000,internal_test,20dB,3,25.97232119,0.797316965,34.99073287,0.417608732,1.170012758,0.035771935,0.996113881,9.29E-05,0,0,122187,0,158.2049633,7.761469314,0.114674734,0.00139235
Transformer_SP,Transformer-SP,10000,internal_test,30dB,3,19.38663228,0.300450514,27.8686298,1.025831707,0.878389614,0.013551539,0.99753287,0.000182654,0,0,122187,0,158.2049633,7.761469314,0.114674734,0.00139235
Transformer_SP,Transformer-SP,30000,internal_test,clean,3,13.19397132,0.749035952,17.88014713,0.909271488,0.593810451,0.033941495,0.998983613,0.000101969,0,0,122187,0,430.4467467,14.45556064,0.107084954,0.018342709
Transformer_SP,Transformer-SP,30000,internal_test,10dB,3,50.24644089,1.852625932,65.34146017,2.743403676,2.24232239,0.077362486,0.986433854,0.001149747,0,0,122187,0,430.4467467,14.45556064,0.107084954,0.018342709
Transformer_SP,Transformer-SP,30000,internal_test,20dB,3,23.99470774,0.338073971,32.84964013,0.305037002,1.067887247,0.01579764,0.996575045,6.35E-05,0,0,122187,0,430.4467467,14.45556064,0.107084954,0.018342709
Transformer_SP,Transformer-SP,30000,internal_test,30dB,3,15.60253652,0.649095312,21.51862445,0.747728358,0.6916708,0.030316124,0.998529222,0.000102462,0,0,122187,0,430.4467467,14.45556064,0.107084954,0.018342709
Transformer_SP,Transformer-SP,50000,internal_test,clean,3,11.18233363,0.295910607,14.85092561,0.386158734,0.501420209,0.013008836,0.99929972,3.65E-05,0,0,122187,0,347.7644654,1.181578538,0.046341583,0.000664917
Transformer_SP,Transformer-SP,50000,internal_test,10dB,3,48.99149195,1.039153311,63.72731973,1.64761583,2.177608075,0.045353796,0.987105232,0.000664025,0,0,122187,0,347.7644654,1.181578538,0.046341583,0.000664917
Transformer_SP,Transformer-SP,50000,internal_test,20dB,3,23.52607282,0.233151981,32.43183745,0.11305342,1.043908081,0.008262144,0.996661777,2.33E-05,0,0,122187,0,347.7644654,1.181578538,0.046341583,0.000664917
Transformer_SP,Transformer-SP,50000,internal_test,30dB,3,14.23077742,0.035671322,19.65236843,0.286521027,0.627610243,0.00198522,0.998774086,3.59E-05,0,0,122187,0,347.7644654,1.181578538,0.046341583,0.000664917
Transformer_SP,Transformer-SP,70000,internal_test,clean,3,10.66322422,0.50808249,14.13144103,0.614866878,0.477713191,0.023319443,0.999365416,5.56E-05,0,0,122187,0,482.3447817,1.070259528,0.045800777,0.001516908
Transformer_SP,Transformer-SP,70000,internal_test,10dB,3,47.39005407,0.572921416,61.75305085,0.775684784,2.105392454,0.024193782,0.987895935,0.000302946,0,0,122187,0,482.3447817,1.070259528,0.045800777,0.001516908
Transformer_SP,Transformer-SP,70000,internal_test,20dB,3,22.72694333,0.149687595,31.49214899,0.275396153,1.007288974,0.006793898,0.996852284,5.50E-05,0,0,122187,0,482.3447817,1.070259528,0.045800777,0.001516908
Transformer_SP,Transformer-SP,70000,internal_test,30dB,3,13.51775201,0.319752963,18.4130937,0.412997861,0.594515369,0.015880478,0.998923614,4.85E-05,0,0,122187,0,482.3447817,1.070259528,0.045800777,0.001516908
Transformer_SP,Transformer-SP,100000,internal_test,clean,3,10.05323728,0.216191041,13.28937484,0.245237171,0.449922308,0.011587076,0.99943937,2.06E-05,0,0,122187,0,705.8450886,2.945007696,0.070430432,0.001925505
